Time,Potential,ADJ,MIN,MAX,AVG,AXIS 1,AXIS 2,AREA,AVG AREA,DURATION,AVG RPU
35,-0.073,-2.590235286,,,-2.517235286,,,,,,
35.2,-0.073,-2.590235286,,,-2.517235286,,,,,,
35.4,-0.073,-2.590235286,,,-2.517235286,,,,,,
35.6,-0.073,-2.590235286,,,-2.517235286,,,,,,
35.8,-0.073,-2.590235286,,,-2.517235286,,,,,,
36,-0.068,-2.585235286,,,-2.517235286,,,,,,
36.2,-0.073,-2.590235286,,,-2.517235286,,,,,,
36.4,-0.073,-2.590235286,,,-2.517235286,,,,,,
36.6,-0.068,-2.585235286,,,-2.517235286,,,,,,
36.8,-0.063,-2.580235286,,,-2.517235286,,,,,,
37,-0.073,-2.590235286,,,-2.517235286,,,,,,
37.2,-0.068,-2.585235286,,,-2.517235286,,,,,,
37.4,-0.068,-2.585235286,,,-2.517235286,,,,,,
37.6,-0.068,-2.585235286,,,-2.517235286,,,,,,
37.8,-0.068,-2.585235286,,,-2.517235286,,,,,,
38,-0.063,-2.580235286,,,-2.517235286,,,,,,
38.2,-0.063,-2.580235286,,,-2.517235286,,,,,,
38.4,-0.063,-2.580235286,,,-2.517235286,,,,,,
38.6,-0.063,-2.580235286,,,-2.517235286,,,,,,
38.8,-0.058,-2.575235286,,,-2.517235286,,,,,,
39,-0.058,-2.575235286,,,-2.517235286,,,,,,
39.2,-0.058,-2.575235286,,,-2.517235286,,,,,,
39.4,-0.058,-2.575235286,,,-2.517235286,,,,,,
39.6,-0.063,-2.580235286,,,-2.517235286,,,,,,
39.8,-0.058,-2.575235286,,,-2.517235286,,,,,,
40,-0.063,-2.580235286,,,-2.517235286,,,,,,
40.2,-0.063,-2.580235286,,,-2.517235286,,,,,,
40.4,-0.063,-2.580235286,,,-2.517235286,,,,,,
40.6,-0.058,-2.575235286,,,-2.517235286,,,,,,
40.8,-0.063,-2.580235286,,,-2.517235286,,,,,,
41,-0.058,-2.575235286,,,-2.517235286,,,,,,
41.2,-0.058,-2.575235286,,,-2.517235286,,,,,,
41.4,-0.058,-2.575235286,,,-2.517235286,,,,,,
41.6,-0.058,-2.575235286,,,-2.517235286,,,,,,
41.8,-0.058,-2.575235286,,,-2.517235286,,,,,,
42,-0.058,-2.575235286,,,-2.517235286,,,,,,
42.2,-0.058,-2.575235286,,,-2.517235286,,,,,,
42.4,-0.058,-2.575235286,,,-2.517235286,,,,,,
42.6,-0.058,-2.575235286,,,-2.517235286,,,,,,
42.8,-0.058,-2.575235286,,,-2.517235286,,,,,,
43,-0.058,-2.575235286,,,-2.517235286,,,,,,
43.2,-0.058,-2.575235286,,,-2.517235286,,,,,,
43.4,-0.058,-2.575235286,,,-2.517235286,,,,,,
43.6,-0.058,-2.575235286,,,-2.517235286,,,,,,
43.8,-0.058,-2.575235286,,,-2.517235286,,,,,,
44,-0.058,-2.575235286,,,-2.517235286,,,,,,
44.2,-0.058,-2.575235286,,,-2.517235286,,,,,,
44.4,-0.058,-2.575235286,,,-2.517235286,,,,,,
44.6,-0.058,-2.575235286,,,-2.517235286,,,,,,
44.8,-0.058,-2.575235286,,,-2.517235286,,,,,,
45,-0.063,-2.580235286,,,-2.517235286,,,,,,
45.2,-0.058,-2.575235286,,,-2.517235286,,,,,,
45.4,-0.058,-2.575235286,,,-2.517235286,,,,,,
45.6,-0.058,-2.575235286,,,-2.517235286,,,,,,
45.8,-0.063,-2.580235286,,,-2.517235286,,,,,,
46,-0.058,-2.575235286,,,-2.517235286,,,,,,
46.2,-0.063,-2.580235286,,,-2.517235286,,,,,,
46.4,-0.058,-2.575235286,,,-2.517235286,,,,,,
46.6,-0.063,-2.580235286,,,-2.517235286,,,,,,
46.8,-0.063,-2.580235286,,,-2.517235286,,,,,,
47,-0.063,-2.580235286,,,-2.517235286,,,,,,
47.2,-0.063,-2.580235286,,,-2.517235286,,,,,,
47.4,-0.063,-2.580235286,,,-2.517235286,,,,,,
47.6,-0.063,-2.580235286,,,-2.517235286,,,,,,
47.8,-0.063,-2.580235286,,,-2.517235286,,,,,,
48,-0.058,-2.575235286,,,-2.517235286,,,,,,
48.2,-0.058,-2.575235286,,,-2.517235286,,,,,,
48.4,-0.058,-2.575235286,,,-2.517235286,,,,,,
48.6,-0.063,-2.580235286,,,-2.517235286,,,,,,
48.8,-0.063,-2.580235286,,,-2.517235286,,,,,,
49,-0.063,-2.580235286,,,-2.517235286,,,,,,
49.2,-0.063,-2.580235286,,,-2.517235286,,,,,,
49.4,-0.063,-2.580235286,,,-2.517235286,,,,,,
49.6,-0.063,-2.580235286,,,-2.517235286,,,,,,
49.8,-0.063,-2.580235286,,,-2.517235286,,,,,,
50,-0.058,-2.575235286,,,-2.517235286,,,,,,
50.2,-0.063,-2.580235286,,,-2.517235286,,,,,,
50.4,-0.058,-2.575235286,,,-2.517235286,,,,,,
50.6,-0.058,-2.575235286,,,-2.517235286,,,,,,
50.8,-0.063,-2.580235286,,,-2.517235286,,,,,,
51,-0.063,-2.580235286,,,-2.517235286,,,,,,
51.2,-0.063,-2.580235286,,,-2.517235286,,,,,,
51.4,-0.063,-2.580235286,,,-2.517235286,,,,,,
51.6,-0.063,-2.580235286,,,-2.517235286,,,,,,
51.8,-0.068,-2.585235286,,,-2.517235286,,,,,,
52,-0.068,-2.585235286,,,-2.517235286,,,,,,
52.2,-0.063,-2.580235286,,,-2.517235286,,,,,,
52.4,-0.068,-2.585235286,,,-2.517235286,,,,,,
52.6,-0.068,-2.585235286,,,-2.517235286,,,,,,
52.8,-0.073,-2.590235286,,,-2.517235286,,,,,,
53,-0.073,-2.590235286,,,-2.517235286,,,,,,
53.2,-0.073,-2.590235286,,,-2.517235286,,,,,,
53.4,-0.068,-2.585235286,,,-2.517235286,,,,,,
53.6,-0.073,-2.590235286,,,-2.517235286,,,,,,
53.8,-0.073,-2.590235286,,,-2.517235286,,,,,,
54,-0.073,-2.590235286,,,-2.517235286,,,,,,
54.2,-0.068,-2.585235286,,,-2.517235286,,,,,,
54.4,-0.073,-2.590235286,,,-2.517235286,,,,,,
54.6,-0.073,-2.590235286,,,-2.517235286,,,,,,
54.8,-0.073,-2.590235286,,,-2.517235286,,,,,,
55,-0.073,-2.590235286,,,-2.517235286,,,,,,
55.2,-0.073,-2.590235286,,,-2.517235286,,,,,,
55.4,-0.073,-2.590235286,,,-2.517235286,,,,,,
55.6,-0.073,-2.590235286,,,-2.517235286,,,,,,
55.8,-0.078,-2.595235286,,,-2.517235286,,,,,,
56,-0.073,-2.590235286,,,-2.517235286,,,,,,
56.2,-0.068,-2.585235286,,,-2.517235286,,,,,,
56.4,-0.068,-2.585235286,,,-2.517235286,,,,,,
56.6,-0.073,-2.590235286,,,-2.517235286,,,,,,
56.8,-0.078,-2.595235286,,,-2.517235286,,,,,,
57,-0.078,-2.595235286,,,-2.517235286,,,,,,
57.2,-0.078,-2.595235286,,,-2.517235286,,,,,,
57.4,-0.073,-2.590235286,,,-2.517235286,,,,,,
57.6,-0.073,-2.590235286,,,-2.517235286,,,,,,
57.8,-0.068,-2.585235286,,,-2.517235286,,,,,,
58,-0.073,-2.590235286,,,-2.517235286,,,,,,
58.2,-0.073,-2.590235286,,,-2.517235286,,,,,,
58.4,-0.073,-2.590235286,,,-2.517235286,,,,,,
58.6,-0.068,-2.585235286,,,-2.517235286,,,,,,
58.8,-0.068,-2.585235286,,,-2.517235286,,,,,,
59,-0.063,-2.580235286,,,-2.517235286,,,,,,
59.2,-0.068,-2.585235286,,,-2.517235286,,,,,,
59.4,-0.068,-2.585235286,,,-2.517235286,,,,,,
59.6,-0.063,-2.580235286,,,-2.517235286,,,,,,
