"Time","Potential 2","Potential 1"
64.4,-0.117,
64.6,-0.112,
64.8,-0.121,
65.0,-0.121,
65.2,-0.117,
65.4,-0.117,
65.6,-0.131,
65.8,-0.107,
66.0,-0.112,
66.2,-0.112,
66.4,-0.107,
66.6,-0.107,
66.8,-0.092,
67.0,-0.102,
67.2,-0.092,
67.4,-0.102,
67.6,-0.088,
67.8,-0.102,
68.0,-0.078,
68.2,-0.073,
68.4,-0.068,
68.6,-0.088,
68.8,-0.102,
69.0,-0.092,
69.2,-0.102,
69.4,-0.102,
69.6,-0.097,
69.8,-0.102,
70.0,-0.088,
70.2,-0.073,
70.4,-0.078,
70.6,-0.092,
70.8,-0.083,
71.0,-0.088,
71.2,-0.064,
71.4,-0.068,
71.6,-0.064,
71.8,-0.073,
72.0,-0.073,
72.2,-0.068,
72.4,-0.068,
72.6,-0.068,
72.8,-0.059,
73.0,-0.059,
73.2,-0.064,
73.4,-0.054,
73.6,-0.054,
73.8,-0.054,
74.0,-0.064,
74.2,-0.054,
74.4,-0.064,
74.6,-0.064,
74.8,-0.059,
75.0,-0.054,
75.2,-0.054,
75.4,-0.054,
75.6,-0.054,
75.8,-0.049,
76.0,-0.049,
76.2,-0.040,
76.4,-0.035,
76.6,-0.035,
76.8,-0.030,
77.0,-0.030,
77.2,-0.030,
77.4,-0.025,
77.6,-0.025,
77.8,-0.020,
78.0,-0.011,
78.2,-0.011,
78.4,-0.011,
78.6,-0.011,
78.8,-0.011,
79.0,-0.001,
79.2,-0.011,
79.4,-0.011,
79.6,-0.011,
79.8,-0.001,
80.0,-0.001,
80.2,-0.001,
80.4,0.004,
80.6,0.009,
80.8,0.009,
81.0,0.013,
81.2,0.023,
81.4,0.023,
81.6,0.023,
81.8,0.023,
82.0,0.023,
82.2,0.028,
82.4,0.028,
82.6,0.028,
82.8,0.028,
83.0,0.028,
83.2,0.033,
83.4,0.033,
83.6,0.038,
83.8,0.033,
84.0,0.038,
84.2,0.038,
84.4,0.038,
84.6,0.038,
84.8,0.052,
85.0,0.042,
85.2,0.038,
85.4,0.038,
85.6,0.038,
85.8,0.038,
86.0,0.052,
86.2,0.052,
86.4,0.047,
86.6,0.052,
86.8,0.047,
87.0,0.052,
87.2,0.047,
87.4,0.052,
87.6,0.052,
87.8,0.052,
88.0,0.052,
88.2,0.052,
88.4,0.057,
88.6,0.057,
88.8,0.052,
89.0,0.052,
89.2,0.057,
89.4,0.052,
89.6,0.052,
89.8,0.052,
90.0,0.052,
90.2,0.052,
90.4,0.047,
90.6,0.047,
90.8,0.047,
91.0,0.047,
91.2,0.047,
91.4,0.047,
91.6,0.047,
91.8,0.047,
92.0,0.047,
92.2,0.047,
92.4,0.047,
92.6,0.047,
92.8,0.047,
93.0,0.057,
93.2,0.062,
93.4,0.062,
93.6,0.047,
93.8,0.057,
94.0,0.067,
94.2,0.062,
94.4,0.047,
94.6,0.052,
94.8,0.047,
95.0,0.047,
95.2,0.047,
95.4,0.047,
95.6,0.047,
95.8,0.052,
96.0,0.052,
96.2,0.052,
96.4,0.052,
96.6,0.052,
96.8,0.052,
97.0,0.052,
97.2,0.057,
97.4,0.052,
97.6,0.057,
97.8,0.057,
98.0,0.062,
98.2,0.057,
98.4,0.062,
98.6,0.057,
98.8,0.062,
99.0,0.067,
99.2,0.062,
99.4,0.067,
99.6,0.067,
99.8,0.067,
100.0,0.067,
100.2,0.067,
100.4,0.067,
100.6,0.076,
100.8,0.076,
101.0,0.071,
101.2,0.071,
101.4,0.076,
101.6,0.076,
101.8,0.076,
102.0,0.076,
102.2,0.076,
102.4,0.076,
102.6,0.076,
102.8,0.076,
103.0,0.076,
103.2,0.081,
103.4,0.081,
103.6,0.081,
103.8,0.081,
104.0,0.076,
104.2,0.076,
104.4,0.076,
104.6,0.081,
104.8,0.076,
105.0,0.071,
105.2,0.081,
105.4,0.076,
105.6,0.081,
105.8,0.081,
106.0,0.081,
106.2,0.086,
106.4,0.086,
106.6,0.086,
106.8,0.100,
107.0,0.120,
107.2,0.139,
107.4,0.154,
107.6,0.178,
107.8,0.192,
108.0,0.202,
108.2,0.206,
108.4,0.221,
108.6,0.221,
108.8,0.245,
109.0,0.255,
109.2,0.269,
109.4,0.274,
109.6,0.279,
109.8,0.288,
110.0,0.298,
110.2,0.303,
110.4,0.308,
110.6,0.317,
110.8,0.317,
111.0,0.317,
111.2,0.317,
111.4,0.317,
111.6,0.332,
111.8,0.337,
112.0,0.332,
112.2,0.332,
112.4,0.332,
112.6,0.337,
112.8,0.341,
113.0,0.337,
113.2,0.332,
113.4,0.332,
113.6,0.332,
113.8,0.337,
114.0,0.337,
114.2,0.332,
114.4,0.332,
114.6,0.327,
114.8,0.327,
115.0,0.317,
115.2,0.317,
115.4,0.313,
115.6,0.313,
115.8,0.303,
116.0,0.298,
116.2,0.288,
116.4,0.284,
116.6,0.288,
116.8,0.279,
117.0,0.279,
117.2,0.274,
117.4,0.269,
117.6,0.255,
117.8,0.255,
118.0,0.245,
118.2,0.240,
118.4,0.245,
118.6,0.250,
118.8,0.240,
119.0,0.240,
119.2,0.245,
119.4,0.240,
119.6,0.240,
119.8,0.230,
120.0,0.230,
120.2,0.230,
120.4,0.230,
120.6,0.230,
120.8,0.221,
121.0,0.226,
121.2,0.221,
121.4,0.206,
121.6,0.197,
121.8,0.202,
122.0,0.187,
122.2,0.192,
122.4,0.202,
122.6,0.192,
122.8,0.187,
123.0,0.168,
123.2,0.163,
123.4,0.158,
123.6,0.154,
123.8,0.154,
124.0,0.154,
124.2,0.149,
124.4,0.144,
124.6,0.144,
124.8,0.139,
125.0,0.120,
125.2,0.125,
125.4,0.120,
125.6,0.105,
125.8,0.100,
126.0,0.096,
126.2,0.096,
126.4,0.091,
126.6,0.086,
126.8,0.081,
127.0,0.081,
127.2,0.086,
127.4,0.081,
127.6,0.086,
127.8,0.086,
128.0,0.091,
128.2,0.086,
128.4,0.086,
128.6,0.086,
128.8,0.086,
129.0,0.086,
129.2,0.086,
129.4,0.086,
129.6,0.086,
129.8,0.086,
130.0,0.086,
130.2,0.086,
130.4,0.086,
130.6,0.086,
130.8,0.086,
131.0,0.086,
131.2,0.091,
131.4,0.086,
131.6,0.086,
131.8,0.086,
132.0,0.081,
132.2,0.081,
132.4,0.086,
132.6,0.086,
132.8,0.086,
133.0,0.081,
133.2,0.086,
133.4,0.086,
133.6,0.081,
133.8,0.086,
134.0,0.086,
134.2,0.081,
134.4,0.081,
134.6,0.076,
134.8,0.076,
135.0,0.076,
135.2,0.081,
135.4,0.081,
135.6,0.081,
135.8,0.081,
136.0,0.081,
136.2,0.081,
136.4,0.081,
136.6,0.076,
136.8,0.076,
137.0,0.076,
137.2,0.076,
137.4,0.076,
137.6,0.081,
137.8,0.076,
138.0,0.076,
138.2,0.076,
138.4,0.076,
138.6,0.076,
138.8,0.067,
139.0,0.076,
139.2,0.071,
139.4,0.067,
139.6,0.067,
139.8,0.067,
140.0,0.062,
140.2,0.067,
140.4,0.067,
140.6,0.067,
140.8,0.052,
141.0,0.067,
141.2,0.067,
141.4,0.067,
141.6,0.067,
141.8,0.067,
142.0,0.067,
142.2,0.067,
142.4,0.067,
142.6,0.062,
142.8,0.062,
143.0,0.067,
143.2,0.062,
143.4,0.067,
143.6,0.057,
143.8,0.062,
144.0,0.047,
144.2,0.042,
144.4,0.062,
144.6,0.062,
144.8,0.047,
145.0,0.047,
145.2,0.062,
145.4,0.047,
145.6,0.057,
145.8,0.067,
146.0,0.067,
146.2,0.062,
146.4,0.047,
146.6,0.047,
146.8,0.047,
147.0,0.047,
147.2,0.047,
147.4,0.047,
147.6,0.042,
147.8,0.047,
148.0,0.062,
148.2,0.042,
148.4,0.057,
148.6,0.062,
148.8,0.047,
149.0,0.057,
149.2,0.057,
149.4,0.047,
149.6,0.047,
149.8,0.042,
150.0,0.052,
150.2,0.067,
150.4,0.062,
150.6,0.052,
150.8,0.042,
151.0,0.047,
151.2,0.047,
151.4,0.023,
151.6,0.038,
151.8,0.038,
152.0,0.038,
152.2,0.052,
152.4,0.023,
152.6,0.033,
152.8,0.038,
153.0,0.042,
153.2,0.038,
153.4,0.038,
153.6,0.023,
153.8,0.038,
154.0,0.033,
154.2,0.033,
154.4,0.038,
154.6,0.028,
154.8,0.033,
155.0,0.028,
155.2,0.004,
155.4,0.023,
155.6,0.023,
155.8,0.018,
156.0,0.023,
156.2,0.018,
156.4,0.013,
156.6,0.013,
156.8,0.009,
157.0,0.009,
157.2,0.009,
157.4,0.009,
157.6,0.004,
157.8,0.004,
158.0,-0.001,
158.2,-0.006,
158.4,-0.011,
158.6,-0.011,
158.8,-0.030,
159.0,-0.020,
159.2,-0.011,
159.4,-0.011,
159.6,-0.044,
159.8,-0.020,
160.0,-0.040,
160.2,-0.049,
160.4,-0.049,
160.6,-0.030,
160.8,-0.040,
161.0,-0.049,
161.2,-0.064,
161.4,-0.049,
161.6,-0.049,
161.8,-0.054,
162.0,-0.040,
162.2,-0.049,
162.4,-0.054,
162.6,-0.054,
162.8,-0.054,
163.0,-0.044,
163.2,-0.044,
163.4,-0.044,
163.6,-0.054,
163.8,-0.064,
164.0,-0.049,
164.2,-0.064,
164.4,-0.068,
164.6,-0.049,
164.8,-0.083,
165.0,-0.064,
165.2,-0.059,
165.4,-0.054,
165.6,-0.068,
165.8,-0.073,
166.0,-0.073,
166.2,-0.068,
166.4,-0.078,
166.6,-0.073,
166.8,-0.073,
167.0,-0.068,
167.2,-0.068,
167.4,-0.083,
167.6,-0.083,
167.8,-0.078,
168.0,-0.083,
168.2,-0.102,
168.4,-0.102,
168.6,-0.078,
168.8,-0.092,
169.0,-0.083,
169.2,-0.078,
169.4,-0.078,
169.6,-0.078,
169.8,-0.092,
170.0,-0.102,
170.2,-0.112,
170.4,-0.112,
170.6,-0.121,
170.8,-0.131,
171.0,-0.102,
171.2,-0.097,
171.4,-0.102,
171.6,-0.117,
171.8,-0.126,
172.0,-0.126,
172.2,-0.126,
172.4,-0.126,
172.6,-0.146,
172.8,-0.150,
173.0,-0.155,
173.2,-0.160,
173.4,-0.175,
173.6,-0.165,
173.8,-0.179,
174.0,-0.170,
174.2,-0.204,
174.4,-0.204,
174.6,-0.213,
174.8,-0.179,
175.0,-0.204,
175.2,-0.237,
175.4,-0.204,
175.6,-0.247,
175.8,-0.242,
176.0,-0.252,
176.2,-0.247,
176.4,-0.262,
176.6,-0.286,
176.8,-0.300,
177.0,-0.300,
177.2,-0.319,
177.4,-0.314,
177.6,-0.343,
177.8,-0.319,
178.0,-0.343,
178.2,-0.377,
178.4,-0.363,
178.6,-0.396,
178.8,-0.382,
179.0,-0.377,
179.2,-0.382,
179.4,-0.392,
179.6,-0.382,
179.8,-0.396,
180.0,-0.382,
180.2,-0.387,
180.4,-0.396,
180.6,-0.396,
180.8,-0.396,
181.0,-0.396,
181.2,-0.387,
181.4,-0.387,
181.6,-0.387,
181.8,-0.392,
182.0,-0.387,
182.2,-0.401,
182.4,-0.387,
182.6,-0.392,
182.8,-0.387,
183.0,-0.392,
183.2,-0.401,
183.4,-0.387,
183.6,-0.392,
183.8,-0.396,
184.0,-0.396,
184.2,-0.396,
184.4,-0.396,
184.6,-0.387,
184.8,-0.392,
185.0,-0.392,
185.2,-0.387,
185.4,-0.396,
185.6,-0.396,
185.8,-0.396,
186.0,-0.392,
186.2,-0.387,
186.4,-0.387,
186.6,-0.392,
186.8,-0.387,
187.0,-0.396,
187.2,-0.392,
187.4,-0.387,
187.6,-0.396,
187.8,-0.392,
188.0,-0.387,
188.2,-0.392,
188.4,-0.396,
188.6,-0.377,
188.8,-0.387,
189.0,-0.392,
189.2,-0.392,
189.4,-0.387,
189.6,-0.377,
189.8,-0.372,
190.0,-0.343,
190.2,-0.358,
190.4,-0.338,
190.6,-0.329,
190.8,-0.334,
191.0,-0.319,
191.2,-0.334,
191.4,-0.353,
191.6,-0.324,
191.8,-0.343,
192.0,-0.343,
192.2,-0.343,
192.4,-0.338,
192.6,-0.319,
192.8,-0.305,
193.0,-0.295,
193.2,-0.286,
193.4,-0.281,
193.6,-0.266,
193.8,-0.257,
194.0,-0.257,
194.2,-0.252,
194.4,-0.242,
194.6,-0.247,
194.8,-0.247,
195.0,-0.213,
195.2,-0.218,
195.4,-0.204,
195.6,-0.189,
195.8,-0.194,
196.0,-0.184,
196.2,-0.170,
196.4,-0.170,
196.6,-0.136,
196.8,-0.121,
197.0,-0.088,
197.2,-0.117,
197.4,-0.107,
197.6,-0.092,
197.8,-0.092,
198.0,-0.107,
198.2,-0.088,
198.4,-0.078,
198.6,-0.083,
198.8,-0.092,
199.0,-0.068,
199.2,-0.102,
199.4,-0.049,
199.6,-0.054,
199.8,-0.049,
200.0,-0.049,
200.2,-0.044,
200.4,-0.049,
200.6,-0.040,
200.8,-0.035,
201.0,-0.035,
201.2,-0.044,
201.4,-0.049,
201.6,-0.068,
201.8,-0.049,
202.0,-0.064,
202.2,-0.020,
202.4,-0.020,
202.6,-0.035,
202.8,-0.016,
203.0,-0.020,
203.2,-0.030,
203.4,-0.025,
203.6,-0.011,
203.8,-0.011,
204.0,-0.020,
204.2,-0.011,
204.4,-0.006,
204.6,0.009,
204.8,0.009,
205.0,0.004,
205.2,-0.011,
205.4,0.018,
205.6,0.028,
205.8,0.028,
206.0,0.028,
206.2,0.018,
206.4,0.018,
206.6,0.033,
206.8,0.018,
207.0,0.038,
207.2,0.047,
207.4,0.023,
207.6,0.047,
207.8,0.038,
208.0,0.028,
208.2,0.042,
208.4,0.042,
208.6,0.057,
208.8,0.057,
209.0,0.062,
209.2,0.057,
209.4,0.057,
209.6,0.047,
209.8,0.047,
210.0,0.062,
210.2,0.052,
210.4,0.052,
210.6,0.052,
210.8,0.052,
211.0,0.057,
211.2,0.047,
211.4,0.057,
211.6,0.052,
211.8,0.052,
212.0,0.057,
212.2,0.052,
212.4,0.057,
212.6,0.057,
212.8,0.057,
213.0,0.062,
213.2,0.062,
213.4,0.057,
213.6,0.062,
213.8,0.067,
214.0,0.076,
214.2,0.076,
214.4,0.076,
214.6,0.081,
214.8,0.076,
215.0,0.081,
215.2,0.086,
215.4,0.086,
215.6,0.086,
215.8,0.081,
216.0,0.086,
216.2,0.086,
216.4,0.086,
216.6,0.091,
216.8,0.091,
217.0,0.091,
217.2,0.091,
217.4,0.125,
217.6,0.221,
217.8,0.279,
218.0,0.332,
218.2,0.361,
218.4,0.395,
218.6,0.414,
218.8,0.428,
219.0,0.443,
219.2,0.448,
219.4,0.462,
219.6,0.472,
219.8,0.472,
220.0,0.481,
220.2,0.486,
220.4,0.500,
220.6,0.510,
220.8,0.510,
221.0,0.529,
221.2,0.529,
221.4,0.529,
221.6,0.539,
221.8,0.549,
222.0,0.549,
222.2,0.554,
222.4,0.554,
222.6,0.558,
222.8,0.563,
223.0,0.573,
223.2,0.583,
223.4,0.578,
223.6,0.587,
223.8,0.592,
224.0,0.592,
224.2,0.597,
224.4,0.597,
224.6,0.597,
224.8,0.597,
225.0,0.592,
225.2,0.597,
225.4,0.597,
225.6,0.587,
225.8,0.592,
226.0,0.597,
226.2,0.587,
226.4,0.587,
226.6,0.563,
226.8,0.554,
227.0,0.544,
227.2,0.525,
227.4,0.510,
227.6,0.486,
227.8,0.472,
228.0,0.452,
228.2,0.438,
228.4,0.428,
228.6,0.424,
228.8,0.414,
229.0,0.409,
229.2,0.404,
229.4,0.395,
229.6,0.395,
229.8,0.395,
230.0,0.370,
230.2,0.370,
230.4,0.356,
230.6,0.332,
230.8,0.327,
231.0,0.322,
231.2,0.308,
231.4,0.298,
231.6,0.298,
231.8,0.288,
232.0,0.279,
232.2,0.264,
232.4,0.255,
232.6,0.250,
232.8,0.240,
233.0,0.230,
233.2,0.221,
233.4,0.206,
233.6,0.202,
