,Time,Potential
475,4075.2,1.588
475.2,4075.4,1.559
475.4,4075.6,1.54
475.6,4075.8,1.521
475.8,4076,1.487
476,4076.2,1.429
476.2,4076.4,1.429
476.4,4076.6,1.405
476.6,4076.8,1.555
476.8,4077,1.396
477,4077.2,1.299
477.2,4077.4,1.27
477.4,4077.6,1.251
477.6,4077.8,1.183
477.8,4078,1.154
478,4078.2,1.116
478.2,4078.4,1.072
478.4,4078.6,1.024
478.6,4078.8,0.985
478.8,4079,0.947
479,4079.2,0.913
479.2,4079.4,0.841
479.4,4079.6,0.793
479.6,4079.8,0.749
479.8,4080,0.638
480,4080.2,0.634
480.2,4080.4,0.585
480.4,4080.6,0.537
480.6,4080.8,0.513
480.8,4081,0.469
481,4081.2,0.46
481.2,4081.4,0.426
481.4,4081.6,0.407
481.6,4081.8,0.363
481.8,4082,0.344
482,4082.2,0.296
482.2,4082.4,0.233
482.4,4082.6,0.18
482.6,4082.8,0.146
482.8,4083,0.103
483,4083.2,0.064
483.2,4083.4,0.026
483.4,4083.6,-0.018
483.6,4083.8,-0.071
483.8,4084,-0.095
484,4084.2,-0.143
484.2,4084.4,-0.191
484.4,4084.6,-0.215
484.6,4084.8,-0.177
484.8,4085,-0.298
485,4085.2,-0.341
485.2,4085.4,-0.379
485.4,4085.6,-0.423
485.6,4085.8,-0.461
485.8,4086,-0.49
486,4086.2,-0.519
486.2,4086.4,-0.553
486.4,4086.6,-0.592
486.6,4086.8,-0.625
486.8,4087,-0.659
487,4087.2,-0.693
487.2,4087.4,-0.732
487.4,4087.6,-0.76
487.6,4087.8,-0.794
487.8,4088,-0.828
488,4088.2,-0.871
488.2,4088.4,-0.905
488.4,4088.6,-0.929
488.6,4088.8,-0.968
488.8,4089,-1.002
489,4089.2,-1.035
489.2,4089.4,-1.064
489.4,4089.6,-1.093
489.6,4089.8,-1.117
489.8,4090,-1.137
490,4090.2,-1.175
490.2,4090.4,-1.204
490.4,4090.6,-1.233
490.6,4090.8,-1.272
490.8,4091,-1.291
491,4091.2,-1.33
491.2,4091.4,-1.364
491.4,4091.6,-1.392
491.6,4091.8,-1.416
491.8,4092,-1.445
492,4092.2,-1.479
492.2,4092.4,-1.508
492.4,4092.6,-1.537
492.6,4092.8,-1.581
492.8,4093,-1.609
493,4093.2,-1.638
493.2,4093.4,-1.672
493.4,4093.6,-1.701
493.6,4093.8,-1.725
493.8,4094,-1.749
494,4094.2,-1.783
494.2,4094.4,-1.802
494.4,4094.6,-1.797
494.6,4094.8,-1.855
494.8,4095,-1.865
495,4095.2,-1.956
495.2,4095.4,-2.048
495.4,4095.6,-2.164
495.6,4095.8,-2.275
495.8,4096,-2.352
496,4096.2,-2.444
496.2,4096.4,-2.41
496.4,4096.6,-2.555
496.6,4096.8,-2.637
496.8,4097,-2.728
497,4097.2,-2.883
497.2,4097.4,-2.738
497.4,4097.6,-2.926
497.6,4097.8,-2.969
497.8,4098,-2.941
498,4098.2,-3.022
498.2,4098.4,-2.96
498.4,4098.6,-3.018
498.6,4098.8,-2.989
498.8,4099,-2.989
499,4099.2,-2.974
499.2,4099.4,-3.037
499.4,4099.6,-2.95
499.6,4099.8,-2.917
499.8,4100,-2.854
500,4100.2,-2.757
500.2,4100.4,-2.752
500.4,4100.6,-2.747
500.6,4100.8,-2.714
500.8,4101,-2.68
501,4101.2,-2.622
501.2,4101.4,-2.579
501.4,4101.6,-2.434
501.6,4101.8,-2.415
501.8,4102,-2.372
502,4102.2,-2.328
502.2,4102.4,-2.333
502.4,4102.6,-2.294
502.6,4102.8,-2.256
502.8,4103,-2.227
503,4103.2,-2.207
503.2,4103.4,-2.169
503.4,4103.6,-2.154
503.6,4103.8,-2.126
503.8,4104,-2.077
504,4104.2,-2.092
504.2,4104.4,-2.058
504.4,4104.6,-2.034
504.6,4104.8,-1.99
504.8,4105,-2.019
505,4105.2,-1.985
505.2,4105.4,-1.932
505.4,4105.6,-1.928
505.6,4105.8,-1.908
505.8,4106,-1.904
506,4106.2,-1.889
506.2,4106.4,-1.851
506.4,4106.6,-1.812
506.6,4106.8,-1.812
506.8,4107,-1.802
507,4107.2,-1.793
507.2,4107.4,-1.802
507.4,4107.6,-1.764
507.6,4107.8,-1.754
507.8,4108,-1.715
508,4108.2,-1.672
508.2,4108.4,-1.638
508.4,4108.6,-1.619
508.6,4108.8,-1.585
508.8,4109,-1.556
509,4109.2,-1.527
509.2,4109.4,-1.484
509.4,4109.6,-1.469
509.6,4109.8,-1.46
509.8,4110,-1.426
510,4110.2,-1.373
510.2,4110.4,-1.368
510.4,4110.6,-1.339
510.6,4110.8,-1.31
510.8,4111,-1.277
511,4111.2,-1.252
511.2,4111.4,-1.219
511.4,4111.6,-1.194
511.6,4111.8,-1.175
511.8,4112,-1.141
512,4112.2,-1.113
512.2,4112.4,-1.084
512.4,4112.6,-1.05
512.6,4112.8,-1.026
512.8,4113,-1.006
513,4113.2,-0.977
513.2,4113.4,-0.939
513.4,4113.6,-0.915
513.6,4113.8,-0.891
513.8,4114,-0.871
514,4114.2,-0.843
514.2,4114.4,-0.814
514.4,4114.6,-0.785
514.6,4114.8,-0.756
514.8,4115,-0.736
515,4115.2,-0.712
515.2,4115.4,-0.698
515.4,4115.6,-0.659
515.6,4115.8,-0.64
515.8,4116,-0.621
516,4116.2,-0.698
516.2,4116.4,-0.597
516.4,4116.6,-0.582
516.6,4116.8,-0.553
516.8,4117,-0.548
517,4117.2,-0.519
517.2,4117.4,-0.5
517.4,4117.6,-0.476
517.6,4117.8,-0.461
517.8,4118,-0.437
518,4118.2,-0.437
518.2,4118.4,-0.418
518.4,4118.6,-0.389
518.6,4118.8,-0.375
518.8,4119,-0.148
519,4119.2,0.055
519.2,4119.4,0.257
519.4,4119.6,0.431
519.6,4119.8,0.595
519.8,4120,0.768
520,4120.2,0.937
520.2,4120.4,1.063
520.4,4120.6,1.222
520.6,4120.8,1.357
520.8,4121,1.497
521,4121.2,1.637
521.2,4121.4,1.767
521.4,4121.6,1.907
521.6,4121.8,1.965
521.8,4122,2.1
522,4122.2,2.216
522.2,4122.4,2.326
522.4,4122.6,2.437
522.6,4122.8,2.529
522.8,4123,2.645
523,4123.2,2.77
523.2,4123.4,2.867
523.4,4123.6,2.968
523.6,4123.8,3.045
523.8,4124,3.069
524,4124.2,3.224
524.2,4124.4,3.31
524.4,4124.6,3.402
524.6,4124.8,3.445
524.8,4125,3.513
525,4125.2,3.542
525.2,4125.4,3.614
525.4,4125.6,3.653
525.6,4125.8,3.716
525.8,4126,3.74
526,4126.2,3.754
526.2,4126.4,3.769
526.4,4126.6,3.802
526.6,4126.8,3.778
526.8,4127,3.822
527,4127.2,3.86
527.2,4127.4,3.889
527.4,4127.6,3.899
527.6,4127.8,3.87
527.8,4128,4.092
528,4128.2,4.429
528.2,4128.4,4.381
528.4,4128.6,4.526
528.6,4128.8,4.598
528.8,4129,4.844
529,4129.2,5.018
529.2,4129.4,5.215
529.4,4129.6,5.167
529.6,4129.8,5.109
529.8,4130,5.153
530,4130.2,5.254
530.2,4130.4,5.452
530.4,4130.6,6.199
530.6,4130.8,6.426
530.8,4131,6.46
531,4131.2,6.388
531.2,4131.4,6.228
531.4,4131.6,6.04
531.6,4131.8,5.809
531.8,4132,5.732
532,4132.2,5.886
532.2,4132.4,5.582
532.4,4132.6,5.355
532.6,4132.8,5.172
532.8,4133,4.955
533,4133.2,4.801
533.2,4133.4,4.656
533.4,4133.6,4.502
533.6,4133.8,4.116
533.8,4134,4.053
534,4134.2,3.947
534.2,4134.4,3.822
534.4,4134.6,3.653
534.6,4134.8,3.494
534.8,4135,3.329
535,4135.2,3.19
535.2,4135.4,3.05
535.4,4135.6,2.896
535.6,4135.8,2.77
535.8,4136,2.616
536,4136.2,2.481
536.2,4136.4,2.341
536.4,4136.6,2.182
536.6,4136.8,2.09
536.8,4137,1.979
537,4137.2,1.873
537.2,4137.4,1.762
537.4,4137.6,1.642
537.6,4137.8,1.545
537.8,4138,1.415
538,4138.2,1.309
538.2,4138.4,1.207
538.4,4138.6,1.111
538.6,4138.8,1.043
538.8,4139,0.952
539,4139.2,0.817
539.2,4139.4,0.715
539.4,4139.6,0.672
539.6,4139.8,0.561
539.8,4140,0.498
540,4140.2,0.416
540.2,4140.4,0.349
540.4,4140.6,0.272
540.6,4140.8,0.214
540.8,4141,0.156
541,4141.2,0.098
541.2,4141.4,0.04
541.4,4141.6,-0.013
541.6,4141.8,-0.071
541.8,4142,-0.133
542,4142.2,-0.191
542.2,4142.4,-0.249
542.4,4142.6,-0.307
542.6,4142.8,-0.37
542.8,4143,-0.418
543,4143.2,-0.471
543.2,4143.4,-0.524
543.4,4143.6,-0.558
543.6,4143.8,-0.606
543.8,4144,-0.654
544,4144.2,-0.707
544.2,4144.4,-0.756
544.4,4144.6,-0.799
544.6,4144.8,-0.847
544.8,4145,-0.876
545,4145.2,-0.915
545.2,4145.4,-0.963
545.4,4145.6,-1.011
545.6,4145.8,-1.045
545.8,4146,-1.089
546,4146.2,-1.122
546.2,4146.4,-1.161
546.4,4146.6,-1.199
546.6,4146.8,-1.233
546.8,4147,-1.262
547,4147.2,-1.301
547.2,4147.4,-1.33
547.4,4147.6,-1.368
547.6,4147.8,-1.402
547.8,4148,-1.426
548,4148.2,-1.455
548.2,4148.4,-1.484
548.4,4148.6,-1.527
548.6,4148.8,-1.547
548.8,4149,-1.581
549,4149.2,-1.6
549.2,4149.4,-1.634
549.4,4149.6,-1.658
549.6,4149.8,-1.686
549.8,4150,-1.711
550,4150.2,-1.735
550.2,4150.4,-1.764
550.4,4150.6,-1.793
550.6,4150.8,-1.807
550.8,4151,-1.836
551,4151.2,-1.87
551.2,4151.4,-1.875
551.4,4151.6,-1.899
551.6,4151.8,-1.923
551.8,4152,-1.913
552,4152.2,-1.961
552.2,4152.4,-1.932
552.4,4152.6,-2.01
552.6,4152.8,-2
552.8,4153,-2.048
553,4153.2,-2.145
553.2,4153.4,-2.169
553.4,4153.6,-2.246
553.6,4153.8,-2.333
553.8,4154,-2.391
554,4154.2,-2.453
554.2,4154.4,-2.511
554.4,4154.6,-2.569
554.6,4154.8,-2.598
554.8,4155,-2.646
555,4155.2,-2.738
555.2,4155.4,-2.791
555.4,4155.6,-2.815
555.6,4155.8,-2.796
555.8,4156,-2.781
556,4156.2,-2.936
556.2,4156.4,-2.936
556.4,4156.6,-2.969
556.6,4156.8,-2.955
556.8,4157,-2.969
557,4157.2,-2.993
557.2,4157.4,-3.042
557.4,4157.6,-3.027
557.6,4157.8,-3.047
557.8,4158,-3.08
558,4158.2,-3.032
558.2,4158.4,-3.032
558.4,4158.6,-3.018
558.6,4158.8,-2.979
558.8,4159,-2.96
559,4159.2,-2.965
559.2,4159.4,-2.955
559.4,4159.6,-2.912
559.6,4159.8,-2.897
559.8,4160,-2.863
560,4160.2,-2.815
560.2,4160.4,-2.791
560.4,4160.6,-2.747
560.6,4160.8,-2.723
560.8,4161,-2.709
561,4161.2,-2.704
561.2,4161.4,-2.738
561.4,4161.6,-2.719
561.6,4161.8,-2.699
561.8,4162,-2.608
562,4162.2,-2.564
562.2,4162.4,-2.584
562.4,4162.6,-2.617
562.6,4162.8,-2.608
562.8,4163,-2.584
563,4163.2,-2.613
563.2,4163.4,-2.579
563.4,4163.6,-2.574
563.6,4163.8,-2.564
563.8,4164,-2.584
564,4164.2,-2.55
564.2,4164.4,-2.545
564.4,4164.6,-2.511
564.6,4164.8,-2.506
564.8,4165,-2.54
565,4165.2,-2.531
565.2,4165.4,-2.535
565.4,4165.6,-2.482
565.6,4165.8,-2.55
565.8,4166,-2.487
566,4166.2,-2.531
566.2,4166.4,-2.506
566.4,4166.6,-2.511
566.6,4166.8,-2.521
566.8,4167,-2.531
567,4167.2,-2.526
567.2,4167.4,-2.516
567.4,4167.6,-2.506
567.6,4167.8,-2.511
567.8,4168,-2.506
568,4168.2,-2.531
568.2,4168.4,-2.545
568.4,4168.6,-2.506
568.6,4168.8,-2.564
568.8,4169,-2.579
569,4169.2,-2.603
569.2,4169.4,-2.613
569.4,4169.6,-2.714
569.6,4169.8,-2.646
569.8,4170,-2.603
570,4170.2,-2.685
570.2,4170.4,-2.68
570.4,4170.6,-2.69
570.6,4170.8,-2.675
570.8,4171,-2.728
571,4171.2,-2.714
571.2,4171.4,-2.699
571.4,4171.6,-2.704
571.6,4171.8,-2.738
571.8,4172,-2.738
572,4172.2,-2.752
572.2,4172.4,-2.796
572.4,4172.6,-2.82
572.6,4172.8,-2.839
572.8,4173,-2.834
573,4173.2,-2.83
573.2,4173.4,-2.834
573.4,4173.6,-2.859
573.6,4173.8,-2.873
573.8,4174,-2.883
574,4174.2,-2.878
574.2,4174.4,-2.917
574.4,4174.6,-2.912
574.6,4174.8,-2.926
574.8,4175,-2.931
575,4175.2,-2.95
575.2,4175.4,-2.941
575.4,4175.6,-2.936
575.6,4175.8,-2.95
575.8,4176,-2.921
576,4176.2,-2.931
576.2,4176.4,-2.95
576.4,4176.6,-2.984
576.6,4176.8,-2.95
576.8,4177,-2.907
577,4177.2,-2.844
577.2,4177.4,-2.815
577.4,4177.6,-2.776
577.6,4177.8,-2.81
577.8,4178,-2.743
578,4178.2,-2.738
578.2,4178.4,-2.757
578.4,4178.6,-2.728
578.6,4178.8,-2.738
578.8,4179,-2.709
579,4179.2,-2.651
579.2,4179.4,-2.642
579.4,4179.6,-2.69
579.6,4179.8,-2.709
579.8,4180,-2.68
580,4180.2,-2.574
580.2,4180.4,-2.579
580.4,4180.6,-2.598
580.6,4180.8,-2.574
580.8,4181,-2.569
581,4181.2,-2.584
581.2,4181.4,-2.555
581.4,4181.6,-2.506
581.6,4181.8,-2.444
581.8,4182,-2.391
582,4182.2,-2.357
582.2,4182.4,-2.372
582.4,4182.6,-2.347
582.6,4182.8,-2.372
582.8,4183,-2.41
583,4183.2,-2.372
583.2,4183.4,-2.333
583.4,4183.6,-2.343
583.6,4183.8,-2.386
583.8,4184,-2.241
584,4184.2,-2.333
584.2,4184.4,-2.217
584.4,4184.6,-2.323
584.6,4184.8,-2.401
584.8,4185,-2.405
585,4185.2,-2.347
585.2,4185.4,-2.372
585.4,4185.6,-2.372
585.6,4185.8,-2.434
585.8,4186,-2.367
586,4186.2,-2.314
586.2,4186.4,-2.304
586.4,4186.6,-2.154
586.6,4186.8,-2.145
586.8,4187,-2.097
587,4187.2,-2.207
587.2,4187.4,-2.198
587.4,4187.6,-2.26
587.6,4187.8,-2.207
587.8,4188,-2.251
588,4188.2,-2.265
588.2,4188.4,-2.289
588.4,4188.6,-1.976
588.6,4188.8,-2.169
588.8,4189,-2.082
589,4189.2,-1.995
589.2,4189.4,-1.923
589.4,4189.6,-1.937
589.6,4189.8,-1.961
589.8,4190,-1.913
590,4190.2,-1.937
590.2,4190.4,-1.899
590.4,4190.6,-1.928
590.6,4190.8,-1.908
590.8,4191,-1.908
591,4191.2,-1.908
591.2,4191.4,-1.894
591.4,4191.6,-1.865
591.6,4191.8,-1.855
591.8,4192,-1.836
592,4192.2,-1.846
592.2,4192.4,-1.865
592.4,4192.6,-1.865
592.6,4192.8,-1.86
592.8,4193,-1.841
593,4193.2,-1.831
593.2,4193.4,-1.826
593.4,4193.6,-1.831
593.6,4193.8,-1.841
593.8,4194,-1.826
594,4194.2,-1.812
594.2,4194.4,-1.812
594.4,4194.6,-1.802
594.6,4194.8,-1.802
594.8,4195,-1.797
595,4195.2,-1.788
595.2,4195.4,-1.788
595.4,4195.6,-1.764
595.6,4195.8,-1.754
595.8,4196,-1.744
596,4196.2,-1.735
596.2,4196.4,-1.715
596.4,4196.6,-1.711
596.6,4196.8,-1.706
596.8,4197,-1.696
597,4197.2,-1.686
597.2,4197.4,-1.677
597.4,4197.6,-1.672
597.6,4197.8,-1.667
597.8,4198,-1.658
598,4198.2,-1.648
598.2,4198.4,-1.638
598.4,4198.6,-1.624
598.6,4198.8,-1.619
598.8,4199,-1.609
599,4199.2,-1.6
599.2,4199.4,-1.605
599.4,4199.6,-1.6
599.6,4199.8,-1.585
599.8,4200,-1.571
600,4200.2,-1.571
600.2,4200.4,-1.561
600.4,4200.6,-1.547
600.6,4200.8,-1.542
600.8,4201,-1.527
601,4201.2,-1.518
601.2,4201.4,-1.508
601.4,4201.6,-1.494
601.6,4201.8,-1.489
601.8,4202,-1.489
602,4202.2,-1.479
602.2,4202.4,-1.465
602.4,4202.6,-1.45
602.6,4202.8,-1.445
602.8,4203,-1.426
603,4203.2,-1.416
603.2,4203.4,-1.407
603.4,4203.6,-1.392
603.6,4203.8,-1.388
603.8,4204,-1.368
604,4204.2,-1.354
604.2,4204.4,-1.344
604.4,4204.6,-1.335
604.6,4204.8,-1.32
604.8,4205,-1.31
605,4205.2,-1.296
605.2,4205.4,-1.281
605.4,4205.6,-1.272
605.6,4205.8,-1.252
605.8,4206,-1.238
606,4206.2,-1.233
606.2,4206.4,-1.219
606.4,4206.6,-1.199
606.6,4206.8,-1.19
606.8,4207,-1.175
607,4207.2,-1.161
607.2,4207.4,-1.151
607.4,4207.6,-1.127
607.6,4207.8,-1.108
607.8,4208,-1.098
608,4208.2,-1.074
608.2,4208.4,-1.05
608.4,4208.6,-1.031
608.6,4208.8,-1.021
608.8,4209,-0.992
609,4209.2,-0.973
609.2,4209.4,-0.944
609.4,4209.6,-0.929
609.6,4209.8,-0.91
609.8,4210,-0.891
610,4210.2,-0.886
610.2,4210.4,-0.867
610.4,4210.6,-0.852
610.6,4210.8,-0.838
610.8,4211,-0.886
611,4211.2,-0.838
611.2,4211.4,-0.823
611.4,4211.6,-0.809
611.6,4211.8,-0.78
611.8,4212,-0.76
612,4212.2,-0.736
612.2,4212.4,-0.722
612.4,4212.6,-0.707
612.6,4212.8,-0.683
612.8,4213,-0.674
613,4213.2,-0.64
613.2,4213.4,-0.616
613.4,4213.6,-0.606
613.6,4213.8,-0.587
613.8,4214,-0.563
614,4214.2,-0.544
614.2,4214.4,-0.539
614.4,4214.6,-0.519
614.6,4214.8,-0.519
614.8,4215,-0.5
615,4215.2,-0.476
615.2,4215.4,-0.447
615.4,4215.6,-0.428
615.6,4215.8,-0.418
615.8,4216,-0.394
616,4216.2,-0.37
616.2,4216.4,-0.355
616.4,4216.6,-0.336
616.6,4216.8,-0.312
616.8,4217,-0.278
617,4217.2,-0.264
617.2,4217.4,-0.244
617.4,4217.6,-0.244
617.6,4217.8,-0.211
617.8,4218,-0.196
618,4218.2,-0.191
618.2,4218.4,-0.191
618.4,4218.6,-0.182
618.6,4218.8,-0.177
618.8,4219,-0.157
619,4219.2,-0.153
619.2,4219.4,-0.148
619.4,4219.6,-0.129
619.6,4219.8,-0.143
619.8,4220,-0.114
620,4220.2,-0.119
620.2,4220.4,-0.114
620.4,4220.6,-0.114
620.6,4220.8,-0.109
620.8,4221,-0.1
621,4221.2,-0.085
621.2,4221.4,-0.076
621.4,4221.6,-0.076
621.6,4221.8,-0.056
621.8,4222,-0.047
622,4222.2,-0.042
622.2,4222.4,-0.037
622.4,4222.6,-0.037
622.6,4222.8,-0.023
622.8,4223,-0.013
623,4223.2,-0.008
623.2,4223.4,-0.013
623.4,4223.6,-0.008
623.6,4223.8,-0.008
623.8,4224,0.006
624,4224.2,0.011
624.2,4224.4,0.002
624.4,4224.6,0.002
624.6,4224.8,-0.003
624.8,4225,-0.003
625,4225.2,0.002
625.2,4225.4,-0.003
625.4,4225.6,-0.003
625.6,4225.8,0.002
625.8,4226,-0.008
626,4226.2,-0.018
626.2,4226.4,-0.018
626.4,4226.6,-0.027
626.6,4226.8,-0.027
626.8,4227,-0.027
627,4227.2,-0.037
627.2,4227.4,-0.042
627.4,4227.6,-0.052
627.6,4227.8,-0.061
627.8,4228,-0.061
628,4228.2,-0.061
628.2,4228.4,-0.066
628.4,4228.6,-0.066
628.6,4228.8,-0.08
628.8,4229,-0.08
629,4229.2,-0.08
629.2,4229.4,-0.09
629.4,4229.6,-0.09
629.6,4229.8,-0.095
629.8,4230,-0.104
630,4230.2,-0.109
630.2,4230.4,-0.104
630.4,4230.6,-0.124
630.6,4230.8,-0.129
630.8,4231,-0.129
631,4231.2,-0.138
631.2,4231.4,-0.138
631.4,4231.6,-0.143
631.6,4231.8,-0.153
631.8,4232,-0.162
632,4232.2,-0.172
632.2,4232.4,-0.182
632.4,4232.6,-0.191
632.6,4232.8,-0.191
632.8,4233,-0.215
633,4233.2,-0.211
633.2,4233.4,-0.235
633.4,4233.6,-0.235
633.6,4233.8,-0.24
633.8,4234,-0.259
634,4234.2,-0.269
634.2,4234.4,-0.283
634.4,4234.6,-0.298
634.6,4234.8,-0.293
634.8,4235,-0.307
635,4235.2,-0.317
635.2,4235.4,-0.346
635.4,4235.6,-0.36
635.6,4235.8,-0.375
635.8,4236,-0.375
636,4236.2,-0.389
636.2,4236.4,-0.399
636.4,4236.6,-0.408
636.6,4236.8,-0.413
636.8,4237,-0.423
637,4237.2,-0.428
637.2,4237.4,-0.437
637.4,4237.6,-0.447
637.6,4237.8,-0.466
637.8,4238,-0.476
638,4238.2,-0.495
638.2,4238.4,-0.519
638.4,4238.6,-0.534
638.6,4238.8,-0.544
638.8,4239,-0.563
639,4239.2,-0.577
639.2,4239.4,-0.621
639.4,4239.6,-0.64
639.6,4239.8,-0.669
639.8,4240,-0.678
640,4240.2,-0.693
640.2,4240.4,-0.712
640.4,4240.6,-0.717
640.6,4240.8,-0.732
640.8,4241,-0.746
641,4241.2,-0.756
641.2,4241.4,-0.775
641.4,4241.6,-0.794
641.6,4241.8,-0.809
641.8,4242,-0.828
642,4242.2,-0.838
642.2,4242.4,-0.852
642.4,4242.6,-0.862
642.6,4242.8,-0.867
642.8,4243,-0.876
643,4243.2,-0.876
643.2,4243.4,-0.843
643.4,4243.6,-0.789
643.6,4243.8,-0.847
643.8,4244,-0.857
644,4244.2,-0.871
644.2,4244.4,-0.886
644.4,4244.6,-0.895
644.6,4244.8,-0.91
644.8,4245,-0.91
645,4245.2,-0.919
645.2,4245.4,-0.929
645.4,4245.6,-0.934
645.6,4245.8,-0.944
645.8,4246,-0.968
646,4246.2,-0.968
646.2,4246.4,-0.963
646.4,4246.6,-0.963
646.6,4246.8,-0.968
646.8,4247,-0.968
647,4247.2,-0.977
647.2,4247.4,-0.977
647.4,4247.6,-0.977
647.6,4247.8,-0.982
647.8,4248,-0.982
648,4248.2,-0.987
648.2,4248.4,-0.987
648.4,4248.6,-0.992
648.6,4248.8,-0.992
648.8,4249,-0.992
649,4249.2,-0.992
649.2,4249.4,-1.006
649.4,4249.6,-1.006
649.6,4249.8,-1.006
649.8,4250,-1.006
650,4250.2,-1.011
650.2,4250.4,-1.011
650.4,4250.6,-1.011
650.6,4250.8,-1.016
650.8,4251,-1.016
651,4251.2,-1.016
651.2,4251.4,-1.021
651.4,4251.6,-1.021
651.6,4251.8,-1.031
651.8,4252,-1.026
652,4252.2,-1.031
652.2,4252.4,-1.026
652.4,4252.6,-1.035
652.6,4252.8,-1.04
652.8,4253,-1.035
653,4253.2,-1.035
653.2,4253.4,-1.026
653.4,4253.6,-1.031
653.6,4253.8,-1.031
653.8,4254,-1.031
654,4254.2,-1.026
654.2,4254.4,-1.021
654.4,4254.6,-1.026
654.6,4254.8,-1.021
654.8,4255,-1.031
655,4255.2,-1.021
655.2,4255.4,-1.026
655.4,4255.6,-1.031
655.6,4255.8,-1.035
655.8,4256,-1.04
656,4256.2,-1.04
656.2,4256.4,-1.04
656.4,4256.6,-1.031
656.6,4256.8,-1.04
656.8,4257,-1.045
657,4257.2,-1.035
657.2,4257.4,-1.035
657.4,4257.6,-1.04
657.6,4257.8,-1.04
657.8,4258,-1.031
658,4258.2,-1.021
658.2,4258.4,-1.016
658.4,4258.6,-1.021
658.6,4258.8,-1.016
658.8,4259,-1.016
659,4259.2,-1.021
659.2,4259.4,-1.016
659.4,4259.6,-1.011
659.6,4259.8,-1.011
659.8,4260,-1.002
660,4260.2,-0.992
660.2,4260.4,-0.982
660.4,4260.6,-0.977
660.6,4260.8,-0.973
660.8,4261,-0.968
661,4261.2,-0.963
661.2,4261.4,-0.944
661.4,4261.6,-0.939
661.6,4261.8,-0.924
661.8,4262,-0.915
662,4262.2,-0.91
662.2,4262.4,-0.891
662.4,4262.6,-0.881
662.6,4262.8,-0.862
662.8,4263,-0.852
663,4263.2,-0.847
663.2,4263.4,-0.833
663.4,4263.6,-0.823
663.6,4263.8,-0.809
663.8,4264,-0.794
664,4264.2,-0.78
664.2,4264.4,-0.765
664.4,4264.6,-0.756
664.6,4264.8,-0.746
664.8,4265,-0.732
665,4265.2,-0.722
665.2,4265.4,-0.712
665.4,4265.6,-0.698
665.6,4265.8,-0.688
665.8,4266,-0.678
666,4266.2,-0.659
666.2,4266.4,-0.64
666.4,4266.6,-0.63
666.6,4266.8,-0.616
666.8,4267,-0.592
667,4267.2,-0.577
667.2,4267.4,-0.553
667.4,4267.6,-0.544
667.6,4267.8,-0.534
667.8,4268,-0.519
668,4268.2,-0.51
668.2,4268.4,-0.49
668.4,4268.6,-0.481
668.6,4268.8,-0.466
668.8,4269,-0.457
669,4269.2,-0.442
669.2,4269.4,-0.423
669.4,4269.6,-0.413
669.6,4269.8,-0.403
669.8,4270,-0.389
670,4270.2,-0.389
670.2,4270.4,-0.375
670.4,4270.6,-0.365
670.6,4270.8,-0.36
670.8,4271,-0.331
671,4271.2,-0.326
671.2,4271.4,-0.312
671.4,4271.6,-0.302
671.6,4271.8,-0.288
671.8,4272,-0.273
672,4272.2,-0.254
672.2,4272.4,-0.273
672.4,4272.6,-0.249
672.6,4272.8,-0.254
672.8,4273,-0.244
673,4273.2,-0.235
673.2,4273.4,-0.211
673.4,4273.6,-0.201
673.6,4273.8,-0.182
673.8,4274,-0.172
674,4274.2,-0.157
674.2,4274.4,-0.148
674.4,4274.6,-0.143
674.6,4274.8,-0.133
674.8,4275,-0.119
675,4275.2,-0.114
675.2,4275.4,-0.104
675.4,4275.6,-0.095
675.6,4275.8,-0.085
675.8,4276,-0.076
676,4276.2,-0.066
676.2,4276.4,-0.056
676.4,4276.6,-0.047
676.6,4276.8,-0.037
676.8,4277,-0.037
677,4277.2,-0.027
677.2,4277.4,-0.023
677.4,4277.6,-0.018
677.6,4277.8,-0.018
677.8,4278,-0.013
678,4278.2,-0.013
678.2,4278.4,-0.008
678.4,4278.6,-0.008
678.6,4278.8,-0.008
678.8,4279,-0.008
679,4279.2,-0.013
679.2,4279.4,-0.013
679.4,4279.6,-0.018
679.6,4279.8,-0.027
679.8,4280,-0.037
680,4280.2,-0.023
680.2,4280.4,-0.037
680.4,4280.6,-0.052
680.6,4280.8,-0.061
680.8,4281,-0.085
681,4281.2,-0.124
681.2,4281.4,-0.124
681.4,4281.6,-0.148
681.6,4281.8,-0.153
681.8,4282,-0.162
682,4282.2,-0.177
682.2,4282.4,-0.191
682.4,4282.6,-0.211
682.6,4282.8,-0.235
682.8,4283,-0.254
683,4283.2,-0.283
683.2,4283.4,-0.302
683.4,4283.6,-0.225
683.6,4283.8,-0.283
683.8,4284,-0.312
684,4284.2,-0.326
684.2,4284.4,-0.312
684.4,4284.6,-0.351
684.6,4284.8,-0.375
684.8,4285,-0.384
685,4285.2,-0.351
685.2,4285.4,-0.375
685.4,4285.6,-0.408
685.6,4285.8,-0.437
685.8,4286,-0.461
686,4286.2,-0.481
686.2,4286.4,-0.51
686.4,4286.6,-0.529
686.6,4286.8,-0.544
686.8,4287,-0.582
687,4287.2,-0.601
687.2,4287.4,-0.621
687.4,4287.6,-0.64
687.6,4287.8,-0.664
687.8,4288,-0.678
688,4288.2,-0.698
688.2,4288.4,-0.722
688.4,4288.6,-0.732
688.6,4288.8,-0.751
688.8,4289,-0.76
689,4289.2,-0.765
689.2,4289.4,-0.77
