Time,,Potential
0,4453,-0.971
0.2,4453.2,-0.947
0.4,4453.4,-0.966
0.6,4453.6,-0.966
0.8,4453.8,-0.971
1,4454,-0.966
1.2,4454.2,-0.966
1.4,4454.4,-0.961
1.6,4454.6,-0.961
1.8,4454.8,-0.956
2,4455,-0.956
2.2,4455.2,-0.947
2.4,4455.4,-0.947
2.6,4455.6,-0.937
2.8,4455.8,-0.932
3,4456,-0.932
3.2,4456.2,-0.932
3.4,4456.4,-0.927
3.6,4456.6,-0.923
3.8,4456.8,-0.889
4,4457,-0.874
4.2,4457.2,-0.874
4.4,4457.4,-0.87
4.6,4457.6,-0.87
4.8,4457.8,-0.86
5,4458,-0.845
5.2,4458.2,-0.845
5.4,4458.4,-0.841
5.6,4458.6,-0.841
5.8,4458.8,-0.831
6,4459,-0.831
6.2,4459.2,-0.831
6.4,4459.4,-0.821
6.6,4459.6,-0.826
6.8,4459.8,-0.821
7,4460,-0.821
7.2,4460.2,-0.821
7.4,4460.4,-0.812
7.6,4460.6,-0.812
7.8,4460.8,-0.807
8,4461,-0.802
8.2,4461.2,-0.802
8.4,4461.4,-0.845
8.6,4461.6,-0.841
8.8,4461.8,-0.845
9,4462,-0.841
9.2,4462.2,-0.841
9.4,4462.4,-0.845
9.6,4462.6,-0.841
9.8,4462.8,-0.836
10,4463,-0.836
10.2,4463.2,-0.841
10.4,4463.4,-0.841
10.6,4463.6,-0.841
10.8,4463.8,-0.836
11,4464,-0.831
11.2,4464.2,-0.831
11.4,4464.4,-0.831
11.6,4464.6,-0.831
11.8,4464.8,-0.826
12,4465,-0.826
12.2,4465.2,-0.821
12.4,4465.4,-0.821
12.6,4465.6,-0.826
12.8,4465.8,-0.831
13,4466,-0.826
13.2,4466.2,-0.826
13.4,4466.4,-0.826
13.6,4466.6,-0.826
13.8,4466.8,-0.821
14,4467,-0.817
14.2,4467.2,-0.778
14.4,4467.4,-0.764
14.6,4467.6,-0.773
14.8,4467.8,-0.759
15,4468,-0.754
15.2,4468.2,-0.754
15.4,4468.4,-0.749
15.6,4468.6,-0.749
15.8,4468.8,-0.749
16,4469,-0.749
16.2,4469.2,-0.739
16.4,4469.4,-0.739
16.6,4469.6,-0.739
16.8,4469.8,-0.735
17,4470,-0.735
17.2,4470.2,-0.739
17.4,4470.4,-0.73
17.6,4470.6,-0.73
17.8,4470.8,-0.73
18,4471,-0.73
18.2,4471.2,-0.73
18.4,4471.4,-0.73
18.6,4471.6,-0.73
18.8,4471.8,-0.725
19,4472,-0.72
19.2,4472.2,-0.72
19.4,4472.4,-0.71
19.6,4472.6,-0.706
19.8,4472.8,-0.701
20,4473,-0.696
20.2,4473.2,-0.696
20.4,4473.4,-0.691
20.6,4473.6,-0.691
20.8,4473.8,-0.686
21,4474,-0.677
21.2,4474.2,-0.667
21.4,4474.4,-0.657
21.6,4474.6,-0.657
21.8,4474.8,-0.648
22,4475,-0.638
22.2,4475.2,-0.628
22.4,4475.4,-0.619
22.6,4475.6,-0.609
22.8,4475.8,-0.599
23,4476,-0.58
23.2,4476.2,-0.561
23.4,4476.4,-0.551
23.6,4476.6,-0.537
23.8,4476.8,-0.518
24,4477,-0.498
24.2,4477.2,-0.489
24.4,4477.4,-0.469
24.6,4477.6,-0.46
24.8,4477.8,-0.44
25,4478,-0.445
25.2,4478.2,-0.431
25.4,4478.4,-0.402
25.6,4478.6,-0.363
25.8,4478.8,-0.349
26,4479,-0.315
26.2,4479.2,-0.296
26.4,4479.4,-0.281
26.6,4479.6,-0.243
26.8,4479.8,-0.17
27,4480,-0.136
27.2,4480.2,-0.107
27.4,4480.4,-0.05
27.6,4480.6,0.018
27.8,4480.8,0.013
28,4481,0.052
28.2,4481.2,0.129
28.4,4481.4,0.177
28.6,4481.6,0.24
28.8,4481.8,0.302
29,4482,0.37
29.2,4482.2,0.428
29.4,4482.4,0.433
29.6,4482.6,0.447
29.8,4482.8,0.481
30,4483,0.495
30.2,4483.2,0.505
30.4,4483.4,0.515
30.6,4483.6,0.524
30.8,4483.8,0.548
31,4484,0.544
31.2,4484.2,0.573
31.4,4484.4,0.587
31.6,4484.6,0.597
31.8,4484.8,0.611
32,4485,0.635
32.2,4485.2,0.664
32.4,4485.4,0.693
32.6,4485.6,0.727
32.8,4485.8,0.756
33,4486,0.799
33.2,4486.2,0.823
33.4,4486.4,0.862
33.6,4486.6,0.886
33.8,4486.8,0.91
34,4487,0.944
34.2,4487.2,0.997
34.4,4487.4,1.06
34.6,4487.6,1.093
34.8,4487.8,1.118
35,4488,1.156
35.2,4488.2,1.176
35.4,4488.4,1.204
35.6,4488.6,1.277
35.8,4488.8,1.286
36,4489,1.286
36.2,4489.2,1.407
36.4,4489.4,1.475
36.6,4489.6,1.494
36.8,4489.8,1.527
37,4490,1.537
37.2,4490.2,1.576
37.4,4490.4,1.605
37.6,4490.6,1.605
37.8,4490.8,1.634
38,4491,1.658
38.2,4491.2,1.692
38.4,4491.4,1.682
38.6,4491.6,1.696
38.8,4491.8,1.788
39,4492,1.826
39.2,4492.2,1.822
39.4,4492.4,1.831
39.6,4492.6,1.855
39.8,4492.8,1.86
40,4493,1.855
40.2,4493.2,1.855
40.4,4493.4,1.793
40.6,4493.6,1.86
40.8,4493.8,1.841
41,4494,1.836
41.2,4494.2,1.812
41.4,4494.4,1.793
41.6,4494.6,1.783
41.8,4494.8,1.759
42,4495,1.74
42.2,4495.2,1.706
42.4,4495.4,1.692
42.6,4495.6,1.658
42.8,4495.8,1.638
43,4496,1.6
43.2,4496.2,1.566
43.4,4496.4,1.547
43.6,4496.6,1.503
43.8,4496.8,1.47
44,4497,1.475
44.2,4497.2,1.417
44.4,4497.4,1.373
44.6,4497.6,1.33
44.8,4497.8,1.281
45,4498,1.238
45.2,4498.2,1.195
45.4,4498.4,1.142
45.6,4498.6,1.089
45.8,4498.8,1.011
46,4499,0.944
46.2,4499.2,0.881
46.4,4499.4,0.804
46.6,4499.6,0.717
46.8,4499.8,0.621
47,4500,0.515
47.2,4500.2,0.399
47.4,4500.4,0.269
47.6,4500.6,0.211
47.8,4500.8,0.206
48,4501,0.206
48.2,4501.2,0.201
48.4,4501.4,0.196
48.6,4501.6,0.206
48.8,4501.8,0.206
49,4502,0.201
49.2,4502.2,0.211
49.4,4502.4,0.201
49.6,4502.6,0.211
49.8,4502.8,0.206
50,4503,0.211
50.2,4503.2,0.211
50.4,4503.4,0.206
50.6,4503.6,0.211
50.8,4503.8,0.206
51,4504,0.211
51.2,4504.2,0.196
51.4,4504.4,0.196
51.6,4504.6,0.196
51.8,4504.8,0.196
52,4505,0.196
52.2,4505.2,0.192
52.4,4505.4,0.187
52.6,4505.6,0.187
52.8,4505.8,0.187
53,4506,0.182
53.2,4506.2,0.182
53.4,4506.4,0.177
53.6,4506.6,0.172
53.8,4506.8,0.167
54,4507,0.158
54.2,4507.2,0.153
54.4,4507.4,0.148
54.6,4507.6,0.139
54.8,4507.8,0.134
55,4508,0.134
55.2,4508.2,0.124
55.4,4508.4,0.119
55.6,4508.6,0.11
55.8,4508.8,0.1
56,4509,0.095
56.2,4509.2,0.085
56.4,4509.4,0.076
56.6,4509.6,0.066
56.8,4509.8,0.056
57,4510,0.042
57.2,4510.2,0.037
57.4,4510.4,0.023
57.6,4510.6,0.018
57.8,4510.8,0.003
58,4511,0.003
58.2,4511.2,-0.011
58.4,4511.4,-0.026
58.6,4511.6,-0.031
58.8,4511.8,-0.035
59,4512,-0.045
59.2,4512.2,-0.064
59.4,4512.4,-0.074
59.6,4512.6,-0.083
59.8,4512.8,-0.074
60,4513,-0.074
60.2,4513.2,-0.103
60.4,4513.4,-0.098
60.6,4513.6,-0.112
60.8,4513.8,-0.112
61,4514,-0.117
61.2,4514.2,-0.122
61.4,4514.4,-0.127
61.6,4514.6,-0.146
61.8,4514.8,-0.17
62,4515,-0.199
62.2,4515.2,-0.214
62.4,4515.4,-0.209
62.6,4515.6,-0.204
62.8,4515.8,-0.247
63,4516,-0.223
63.2,4516.2,-0.238
63.4,4516.4,-0.238
63.6,4516.6,-0.252
63.8,4516.8,-0.204
64,4517,-0.252
64.2,4517.2,-0.272
64.4,4517.4,-0.267
64.6,4517.6,-0.267
64.8,4517.8,-0.252
65,4518,-0.286
65.2,4518.2,-0.291
65.4,4518.4,-0.291
65.6,4518.6,-0.276
65.8,4518.8,-0.276
66,4519,-0.267
66.2,4519.2,-0.305
66.4,4519.4,-0.281
66.6,4519.6,-0.301
66.8,4519.8,-0.305
67,4520,-0.31
67.2,4520.2,-0.344
67.4,4520.4,-0.595
67.6,4520.6,-0.585
67.8,4520.8,-0.571
68,4521,-0.58
68.2,4521.2,-0.58
68.4,4521.4,-0.623
68.6,4521.6,-0.638
68.8,4521.8,-0.633
69,4522,-0.652
69.2,4522.2,-0.696
69.4,4522.4,-0.71
69.6,4522.6,-0.739
69.8,4522.8,-0.754
70,4523,-0.817
70.2,4523.2,-0.845
70.4,4523.4,-0.966
70.6,4523.6,-0.981
70.8,4523.8,-0.966
71,4524,-1.096
71.2,4524.2,-1.14
71.4,4524.4,-1.217
71.6,4524.6,-1.265
71.8,4524.8,-1.366
72,4525,-1.414
72.2,4525.2,-1.357
72.4,4525.4,-1.362
72.6,4525.6,-1.333
72.8,4525.8,-1.342
73,4526,-1.328
73.2,4526.2,-1.318
73.4,4526.4,-1.27
73.6,4526.6,-1.188
73.8,4526.8,-1.188
74,4527,-1.164
74.2,4527.2,-1.063
74.4,4527.4,-0.908
74.6,4527.6,-0.923
74.8,4527.8,-0.923
75,4528,-0.918
75.2,4528.2,-0.908
75.4,4528.4,-0.908
75.6,4528.6,-0.908
75.8,4528.8,-0.898
76,4529,-0.894
76.2,4529.2,-0.884
76.4,4529.4,-0.874
76.6,4529.6,-0.865
76.8,4529.8,-0.86
77,4530,-0.855
77.2,4530.2,-0.841
77.4,4530.4,-0.831
77.6,4530.6,-0.826
77.8,4530.8,-0.826
78,4531,-0.821
78.2,4531.2,-0.812
78.4,4531.4,-0.812
78.6,4531.6,-0.812
78.8,4531.8,-0.812
79,4532,-0.812
79.2,4532.2,-0.807
79.4,4532.4,-0.802
79.6,4532.6,-0.802
79.8,4532.8,-0.807
80,4533,-0.802
80.2,4533.2,-0.788
80.4,4533.4,-0.783
80.6,4533.6,-0.783
80.8,4533.8,-0.773
81,4534,-0.768
81.2,4534.2,-0.759
81.4,4534.4,-0.749
81.6,4534.6,-0.73
81.8,4534.8,-0.725
82,4535,-0.71
82.2,4535.2,-0.696
82.4,4535.4,-0.681
82.6,4535.6,-0.662
82.8,4535.8,-0.643
83,4536,-0.619
83.2,4536.2,-0.599
83.4,4536.4,-0.575
83.6,4536.6,-0.542
83.8,4536.8,-0.518
84,4537,-0.493
84.2,4537.2,-0.455
84.4,4537.4,-0.416
84.6,4537.6,-0.368
84.8,4537.8,-0.334
85,4538,-0.301
85.2,4538.2,-0.276
85.4,4538.4,-0.19
85.6,4538.6,-0.141
85.8,4538.8,-0.074
86,4539,-0.04
86.2,4539.2,0.052
86.4,4539.4,0.114
86.6,4539.6,0.196
86.8,4539.8,0.283
87,4540,0.351
87.2,4540.2,0.399
87.4,4540.4,0.423
87.6,4540.6,0.452
87.8,4540.8,0.466
88,4541,0.5
88.2,4541.2,0.5
88.4,4541.4,0.534
88.6,4541.6,0.548
88.8,4541.8,0.563
89,4542,0.592
89.2,4542.2,0.602
89.4,4542.4,0.621
89.6,4542.6,0.659
89.8,4542.8,0.679
90,4543,0.703
90.2,4543.2,0.736
90.4,4543.4,0.765
90.6,4543.6,0.814
90.8,4543.8,0.843
91,4544,0.901
91.2,4544.2,0.968
91.4,4544.4,1.045
91.6,4544.6,1.084
91.8,4544.8,1.156
92,4545,1.204
92.2,4545.2,1.219
92.4,4545.4,1.267
92.6,4545.6,1.267
92.8,4545.8,1.335
93,4546,1.373
93.2,4546.2,1.412
93.4,4546.4,1.484
93.6,4546.6,1.585
93.8,4546.8,1.638
94,4547,1.663
94.2,4547.2,1.696
94.4,4547.4,1.735
94.6,4547.6,1.778
94.8,4547.8,1.773
95,4548,1.793
95.2,4548.2,1.807
95.4,4548.4,1.826
95.6,4548.6,1.875
95.8,4548.8,1.86
96,4549,1.87
96.2,4549.2,1.846
96.4,4549.4,1.846
96.6,4549.6,1.836
96.8,4549.8,1.797
97,4550,1.769
97.2,4550.2,1.74
97.4,4550.4,1.696
97.6,4550.6,1.663
97.8,4550.8,1.614
98,4551,1.561
98.2,4551.2,1.518
98.4,4551.4,1.479
98.6,4551.6,1.417
98.8,4551.8,1.335
99,4552,1.243
99.2,4552.2,1.156
99.4,4552.4,1.05
99.6,4552.6,0.934
99.8,4552.8,0.785
100,4553,0.616
100.2,4553.2,0.423
100.4,4553.4,0.206
100.6,4553.6,0.211
100.8,4553.8,0.201
101,4554,0.201
101.2,4554.2,0.216
101.4,4554.4,0.216
101.6,4554.6,0.216
101.8,4554.8,0.216
102,4555,0.211
102.2,4555.2,0.211
102.4,4555.4,0.206
102.6,4555.6,0.206
102.8,4555.8,0.201
103,4556,0.196
103.2,4556.2,0.196
103.4,4556.4,0.192
103.6,4556.6,0.187
103.8,4556.8,0.172
104,4557,0.172
104.2,4557.2,0.158
104.4,4557.4,0.148
104.6,4557.6,0.139
104.8,4557.8,0.119
105,4558,0.11
105.2,4558.2,0.09
105.4,4558.4,0.076
105.6,4558.6,0.056
105.8,4558.8,0.042
106,4559,0.027
106.2,4559.2,0.018
106.4,4559.4,0.003
106.6,4559.6,-0.011
106.8,4559.8,-0.026
107,4560,-0.045
107.2,4560.2,-0.069
107.4,4560.4,-0.05
107.6,4560.6,-0.083
107.8,4560.8,-0.083
108,4561,-0.098
108.2,4561.2,-0.132
108.4,4561.4,-0.194
108.6,4561.6,-0.18
108.8,4561.8,-0.199
109,4562,-0.204
109.2,4562.2,-0.214
109.4,4562.4,-0.247
109.6,4562.6,-0.233
109.8,4562.8,-0.272
110,4563,-0.276
110.2,4563.2,-0.267
110.4,4563.4,-0.262
110.6,4563.6,-0.291
110.8,4563.8,-0.305
111,4564,-0.329
111.2,4564.2,-0.325
111.4,4564.4,-0.349
111.6,4564.6,-0.368
111.8,4564.8,-0.382
112,4565,-0.378
112.2,4565.2,-0.392
112.4,4565.4,-0.421
112.6,4565.6,-0.44
112.8,4565.8,-0.503
113,4566,-0.508
113.2,4566.2,-0.561
113.4,4566.4,-0.595
113.6,4566.6,-0.657
113.8,4566.8,-0.662
114,4567,-0.72
114.2,4567.2,-0.793
114.4,4567.4,-0.817
114.6,4567.6,-0.865
114.8,4567.8,-0.956
115,4568,-1.024
115.2,4568.2,-1.111
115.4,4568.4,-1.169
115.6,4568.6,-1.231
115.8,4568.8,-1.338
116,4569,-1.347
116.2,4569.2,-1.381
116.4,4569.4,-1.366
116.6,4569.6,-1.352
116.8,4569.8,-1.4
117,4570,-1.39
117.2,4570.2,-1.41
117.4,4570.4,-1.371
117.6,4570.6,-1.371
117.8,4570.8,-1.419
118,4571,-1.371
118.2,4571.2,-1.328
118.4,4571.4,-1.323
118.6,4571.6,-1.347
118.8,4571.8,-1.342
119,4572,-1.217
119.2,4572.2,-1.169
119.4,4572.4,-1.12
119.6,4572.6,-1.068
119.8,4572.8,-1.043
120,4573,-0.99
120.2,4573.2,-0.947
120.4,4573.4,-0.889
120.6,4573.6,-0.923
120.8,4573.8,-0.898
121,4574,-0.913
121.2,4574.2,-0.903
121.4,4574.4,-0.908
121.6,4574.6,-0.908
121.8,4574.8,-0.903
122,4575,-0.903
122.2,4575.2,-0.894
122.4,4575.4,-0.894
122.6,4575.6,-0.894
122.8,4575.8,-0.889
123,4576,-0.884
123.2,4576.2,-0.884
123.4,4576.4,-0.879
123.6,4576.6,-0.874
123.8,4576.8,-0.874
124,4577,-0.87
124.2,4577.2,-0.87
124.4,4577.4,-0.865
124.6,4577.6,-0.87
124.8,4577.8,-0.87
125,4578,-0.865
125.2,4578.2,-0.86
125.4,4578.4,-0.845
125.6,4578.6,-0.845
125.8,4578.8,-0.845
126,4579,-0.845
126.2,4579.2,-0.831
126.4,4579.4,-0.841
126.6,4579.6,-0.831
126.8,4579.8,-0.831
127,4580,-0.831
127.2,4580.2,-0.826
127.4,4580.4,-0.817
127.6,4580.6,-0.826
127.8,4580.8,-0.821
128,4581,-0.821
128.2,4581.2,-0.817
128.4,4581.4,-0.812
128.6,4581.6,-0.812
128.8,4581.8,-0.817
129,4582,-0.812
129.2,4582.2,-0.802
129.4,4582.4,-0.807
129.6,4582.6,-0.802
129.8,4582.8,-0.802
130,4583,-0.802
130.2,4583.2,-0.797
130.4,4583.4,-0.797
130.6,4583.6,-0.797
130.8,4583.8,-0.797
131,4584,-0.802
131.2,4584.2,-0.793
131.4,4584.4,-0.793
131.6,4584.6,-0.793
131.8,4584.8,-0.793
132,4585,-0.793
132.2,4585.2,-0.793
132.4,4585.4,-0.793
132.6,4585.6,-0.793
132.8,4585.8,-0.788
133,4586,-0.788
133.2,4586.2,-0.783
133.4,4586.4,-0.778
133.6,4586.6,-0.754
133.8,4586.8,-0.754
134,4587,-0.749
134.2,4587.2,-0.749
134.4,4587.4,-0.749
134.6,4587.6,-0.744
134.8,4587.8,-0.739
135,4588,-0.739
135.2,4588.2,-0.739
135.4,4588.4,-0.739
135.6,4588.6,-0.749
135.8,4588.8,-0.739
136,4589,-0.739
136.2,4589.2,-0.739
136.4,4589.4,-0.739
136.6,4589.6,-0.739
136.8,4589.8,-0.739
137,4590,-0.739
137.2,4590.2,-0.735
137.4,4590.4,-0.735
137.6,4590.6,-0.739
137.8,4590.8,-0.735
138,4591,-0.735
138.2,4591.2,-0.73
138.4,4591.4,-0.735
138.6,4591.6,-0.735
138.8,4591.8,-0.73
139,4592,-0.73
139.2,4592.2,-0.735
139.4,4592.4,-0.73
139.6,4592.6,-0.73
139.8,4592.8,-0.735
140,4593,-0.73
140.2,4593.2,-0.73
140.4,4593.4,-0.73
140.6,4593.6,-0.735
140.8,4593.8,-0.73
141,4594,-0.73
141.2,4594.2,-0.73
141.4,4594.4,-0.725
141.6,4594.6,-0.73
141.8,4594.8,-0.73
142,4595,-0.73
142.2,4595.2,-0.73
142.4,4595.4,-0.715
142.6,4595.6,-0.715
142.8,4595.8,-0.71
143,4596,-0.71
143.2,4596.2,-0.71
143.4,4596.4,-0.71
143.6,4596.6,-0.71
143.8,4596.8,-0.715
144,4597,-0.725
144.2,4597.2,-0.715
144.4,4597.4,-0.72
144.6,4597.6,-0.72
144.8,4597.8,-0.725
145,4598,-0.725
145.2,4598.2,-0.715
145.4,4598.4,-0.72
145.6,4598.6,-0.715
145.8,4598.8,-0.71
146,4599,-0.715
146.2,4599.2,-0.71
146.4,4599.4,-0.71
146.6,4599.6,-0.715
146.8,4599.8,-0.71
147,4600,-0.71
147.2,4600.2,-0.71
147.4,4600.4,-0.701
147.6,4600.6,-0.706
147.8,4600.8,-0.71
148,4601,-0.701
148.2,4601.2,-0.701
148.4,4601.4,-0.701
148.6,4601.6,-0.696
148.8,4601.8,-0.696
149,4602,-0.691
149.2,4602.2,-0.691
149.4,4602.4,-0.691
149.6,4602.6,-0.686
149.8,4602.8,-0.681
150,4603,-0.677
150.2,4603.2,-0.677
150.4,4603.4,-0.672
150.6,4603.6,-0.672
150.8,4603.8,-0.667
151,4604,-0.657
151.2,4604.2,-0.662
151.4,4604.4,-0.657
151.6,4604.6,-0.657
151.8,4604.8,-0.652
152,4605,-0.652
152.2,4605.2,-0.648
152.4,4605.4,-0.643
152.6,4605.6,-0.638
152.8,4605.8,-0.633
153,4606,-0.633
153.2,4606.2,-0.623
153.4,4606.4,-0.619
153.6,4606.6,-0.614
153.8,4606.8,-0.609
154,4607,-0.604
154.2,4607.2,-0.599
154.4,4607.4,-0.595
154.6,4607.6,-0.585
154.8,4607.8,-0.575
155,4608,-0.571
155.2,4608.2,-0.556
155.4,4608.4,-0.551
155.6,4608.6,-0.542
155.8,4608.8,-0.532
156,4609,-0.527
156.2,4609.2,-0.513
156.4,4609.4,-0.508
156.6,4609.6,-0.498
156.8,4609.8,-0.484
157,4610,-0.469
157.2,4610.2,-0.46
157.4,4610.4,-0.45
157.6,4610.6,-0.44
157.8,4610.8,-0.426
158,4611,-0.411
158.2,4611.2,-0.397
158.4,4611.4,-0.382
158.6,4611.6,-0.363
158.8,4611.8,-0.344
159,4612,-0.315
159.2,4612.2,-0.301
159.4,4612.4,-0.286
159.6,4612.6,-0.267
159.8,4612.8,-0.252
160,4613,-0.238
160.2,4613.2,-0.238
160.4,4613.4,-0.214
160.6,4613.6,-0.185
160.8,4613.8,-0.136
161,4614,-0.112
161.2,4614.2,-0.093
161.4,4614.4,-0.064
161.6,4614.6,-0.04
161.8,4614.8,-0.002
162,4615,0.013
162.2,4615.2,0.023
162.4,4615.4,0.081
162.6,4615.6,0.119
162.8,4615.8,0.143
163,4616,0.187
163.2,4616.2,0.23
163.4,4616.4,0.273
163.6,4616.6,0.322
163.8,4616.8,0.351
164,4617,0.404
164.2,4617.2,0.428
164.4,4617.4,0.457
164.6,4617.6,0.471
164.8,4617.8,0.481
165,4618,0.486
165.2,4618.2,0.505
165.4,4618.4,0.51
165.6,4618.6,0.519
165.8,4618.8,0.534
166,4619,0.534
166.2,4619.2,0.548
166.4,4619.4,0.548
166.6,4619.6,0.563
166.8,4619.8,0.573
167,4620,0.577
167.2,4620.2,0.577
167.4,4620.4,0.592
167.6,4620.6,0.597
167.8,4620.8,0.602
168,4621,0.611
168.2,4621.2,0.621
168.4,4621.4,0.635
168.6,4621.6,0.655
168.8,4621.8,0.664
169,4622,0.674
169.2,4622.2,0.688
169.4,4622.4,0.693
169.6,4622.6,0.712
169.8,4622.8,0.712
170,4623,0.732
170.2,4623.2,0.76
170.4,4623.4,0.765
170.6,4623.6,0.794
170.8,4623.8,0.814
171,4624,0.828
171.2,4624.2,0.852
171.4,4624.4,0.876
171.6,4624.6,0.886
171.8,4624.8,0.905
172,4625,0.93
172.2,4625.2,0.944
172.4,4625.4,0.978
172.6,4625.6,1.021
172.8,4625.8,1.021
173,4626,1.045
173.2,4626.2,1.074
173.4,4626.4,1.098
173.6,4626.6,1.122
173.8,4626.8,1.142
174,4627,1.156
174.2,4627.2,1.176
174.4,4627.4,1.18
174.6,4627.6,1.214
174.8,4627.8,1.243
175,4628,1.238
175.2,4628.2,1.233
175.4,4628.4,1.224
175.6,4628.6,1.238
175.8,4628.8,1.277
176,4629,1.277
176.2,4629.2,1.301
176.4,4629.4,1.325
176.6,4629.6,1.344
176.8,4629.8,1.368
177,4630,1.422
177.2,4630.2,1.47
177.4,4630.4,1.508
177.6,4630.6,1.518
177.8,4630.8,1.552
178,4631,1.566
178.2,4631.2,1.581
178.4,4631.4,1.595
178.6,4631.6,1.609
178.8,4631.8,1.619
179,4632,1.638
179.2,4632.2,1.653
179.4,4632.4,1.667
179.6,4632.6,1.692
179.8,4632.8,1.701
180,4633,1.701
180.2,4633.2,1.706
180.4,4633.4,1.711
180.6,4633.6,1.706
180.8,4633.8,1.716
181,4634,1.735
181.2,4634.2,1.749
181.4,4634.4,1.74
181.6,4634.6,1.754
181.8,4634.8,1.773
182,4635,1.778
182.2,4635.2,1.783
182.4,4635.4,1.783
182.6,4635.6,1.778
182.8,4635.8,1.721
183,4636,1.749
183.2,4636.2,1.73
183.4,4636.4,1.793
183.6,4636.6,1.769
183.8,4636.8,1.769
184,4637,1.769
184.2,4637.2,1.745
184.4,4637.4,1.73
184.6,4637.6,1.725
184.8,4637.8,1.701
185,4638,1.692
185.2,4638.2,1.682
185.4,4638.4,1.643
185.6,4638.6,1.629
185.8,4638.8,1.619
186,4639,1.59
186.2,4639.2,1.561
186.4,4639.4,1.542
186.6,4639.6,1.532
186.8,4639.8,1.503
187,4640,1.484
187.2,4640.2,1.465
187.4,4640.4,1.431
187.6,4640.6,1.397
187.8,4640.8,1.373
188,4641,1.339
188.2,4641.2,1.315
188.4,4641.4,1.277
188.6,4641.6,1.238
188.8,4641.8,1.195
189,4642,1.161
189.2,4642.2,1.098
189.4,4642.4,1.06
189.6,4642.6,0.982
189.8,4642.8,0.92
190,4643,0.867
190.2,4643.2,0.789
190.4,4643.4,0.717
190.6,4643.6,0.645
190.8,4643.8,0.548
191,4644,0.462
191.2,4644.2,0.346
191.4,4644.4,0.225
191.6,4644.6,0.187
191.8,4644.8,0.187
192,4645,0.187
192.2,4645.2,0.182
192.4,4645.4,0.187
192.6,4645.6,0.187
192.8,4645.8,0.182
193,4646,0.187
193.2,4646.2,0.187
193.4,4646.4,0.187
193.6,4646.6,0.187
193.8,4646.8,0.187
194,4647,0.187
194.2,4647.2,0.172
194.4,4647.4,0.172
194.6,4647.6,0.172
194.8,4647.8,0.177
195,4648,0.172
195.2,4648.2,0.177
195.4,4648.4,0.177
195.6,4648.6,0.172
195.8,4648.8,0.172
196,4649,0.177
196.2,4649.2,0.177
196.4,4649.4,0.172
196.6,4649.6,0.177
196.8,4649.8,0.172
197,4650,0.177
197.2,4650.2,0.172
197.4,4650.4,0.177
197.6,4650.6,0.172
197.8,4650.8,0.167
198,4651,0.172
198.2,4651.2,0.172
198.4,4651.4,0.172
198.6,4651.6,0.172
198.8,4651.8,0.172
199,4652,0.172
199.2,4652.2,0.172
199.4,4652.4,0.167
199.6,4652.6,0.163
199.8,4652.8,0.172
200,4653,0.167
200.2,4653.2,0.167
200.4,4653.4,0.172
200.6,4653.6,0.172
200.8,4653.8,0.167
201,4654,0.163
201.2,4654.2,0.158
201.4,4654.4,0.163
201.6,4654.6,0.158
201.8,4654.8,0.158
202,4655,0.158
202.2,4655.2,0.158
202.4,4655.4,0.158
202.6,4655.6,0.153
202.8,4655.8,0.158
203,4656,0.153
203.2,4656.2,0.148
203.4,4656.4,0.143
203.6,4656.6,0.134
203.8,4656.8,0.134
204,4657,0.134
204.2,4657.2,0.129
204.4,4657.4,0.124
204.6,4657.6,0.129
204.8,4657.8,0.124
205,4658,0.124
205.2,4658.2,0.124
205.4,4658.4,0.114
205.6,4658.6,0.114
205.8,4658.8,0.114
206,4659,0.11
206.2,4659.2,0.105
206.4,4659.4,0.105
206.6,4659.6,0.105
206.8,4659.8,0.056
207,4660,0.056
207.2,4660.2,0.052
207.4,4660.4,0.056
207.6,4660.6,0.018
207.8,4660.8,0.018
208,4661,0.013
208.2,4661.2,0.013
208.4,4661.4,0.023
208.6,4661.6,0.056
208.8,4661.8,0.047
209,4662,0.052
209.2,4662.2,0.047
209.4,4662.4,0.052
209.6,4662.6,0.052
209.8,4662.8,0.047
210,4663,0.047
210.2,4663.2,0.052
210.4,4663.4,0.047
210.6,4663.6,0.047
210.8,4663.8,0.042
211,4664,0.047
211.2,4664.2,0.047
211.4,4664.4,0.042
211.6,4664.6,0.042
211.8,4664.8,0.047
212,4665,0.032
212.2,4665.2,0.037
212.4,4665.4,0.042
212.6,4665.6,0.032
212.8,4665.8,0.037
213,4666,0.032
213.2,4666.2,0.032
213.4,4666.4,0.032
213.6,4666.6,0.032
213.8,4666.8,0.042
214,4667,0.032
214.2,4667.2,0.037
214.4,4667.4,0.027
214.6,4667.6,0.032
214.8,4667.8,0.032
215,4668,0.027
215.2,4668.2,0.027
215.4,4668.4,0.032
215.6,4668.6,0.023
215.8,4668.8,0.027
216,4669,0.008
216.2,4669.2,0.003
216.4,4669.4,0.008
216.6,4669.6,-0.011
216.8,4669.8,0.003
217,4670,0.003
217.2,4670.2,0.003
217.4,4670.4,0.003
217.6,4670.6,0.003
217.8,4670.8,0.008
218,4671,0.003
218.2,4671.2,0.003
218.4,4671.4,-0.002
218.6,4671.6,-0.002
218.8,4671.8,-0.002
219,4672,-0.006
219.2,4672.2,-0.006
219.4,4672.4,-0.006
219.6,4672.6,-0.016
219.8,4672.8,-0.016
